No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&1&Any[[-2.999393627791262e-241, 0.0, 0.0]]&Vector{ComplexF64}[[-2.999393627791262e-241 + 2.3995149022330095e-240im, 0.0 - 2.3995149022330095e-240im, 0.0 - 4.799029804466019e-240im], [2.938735877055719e-39 - 0.595948780693106im, 2.938735877055719e-39 + 0.6803343918432844im, 1.4693679385278594e-39 + 0.7081305018560563im], [7.52316384526264e-37 + 0.5959487806931062im, 1.88079096131566e-36 - 0.6803343918432843im, 1.88079096131566e-36 - 0.7081305018560563im], [-5.3809861030072976e-43 - 1.2977212012314885im, -2.6904930515036488e-43 + 1.4814769202063645im, 0.0 - 1.5420049428216382im], [2.802596928649634e-45 + 1.297721201231489im, 7.006492321624085e-46 - 1.4814769202063647im, -3.503246160812043e-46 + 1.5420049428216382im]]&Any[0.2670990786587781]&Any[0]
2&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&1&Any[[0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.0 + 1.8828985662451426e-242im, 0.0 - 2.999393627791262e-241im, 0.0 - 1.499696813895631e-241im], [-3.587324068671532e-43 + 0.09446062048864678im, -2.8698592549372254e-42 - 0.5738924990816441im, -1.9730282377693424e-42 + 0.551354559057786im], [3.587324068671532e-43 - 0.09446062048864677im, -1.4349296274686127e-42 + 0.5738924990816441im, 5.3809861030072976e-43 - 0.5513545590577861im], [0.0 + 0.05190240104579713im, 0.0 - 0.31533138878851935im, -3.76158192263132e-37 - 0.302947675916286im], [4.70197740328915e-38 - 0.05190240104579713im, 0.0 + 0.31533138878851935im, 1.88079096131566e-37 + 0.302947675916286im]]&Any[0.013306330465769524]&Any[1]
3&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&3&Any[[1.9467177638862437e-208, -1.4600383229146827e-208, 2.9200766458293655e-208], [0.2959359361031285, -0.06598258654137358, 0.22778595933317408], [-0.29593593610312846, 0.06598258654137357, -0.22778595933317403]]&Vector{ComplexF64}[[1.9467177638862437e-208 - 3.893435527772487e-207im, -1.4600383229146827e-208 + 1.1680306583317462e-207im, 2.9200766458293655e-208 - 3.11474842221799e-207im], [0.0 - 0.8457806457856731im, 0.0 + 0.18857728260526072im, -7.52316384526264e-37 + 0.6510089931037759im], [9.4039548065783e-37 + 0.8457806457856731im, 2.82118644197349e-37 - 0.18857728260526072im, 3.76158192263132e-37 - 0.6510089931037759im], [0.2959359361031285 + 3.0814879110195774e-33im, -0.06598258654137358 - 7.703719777548943e-34im, 0.22778595933317408 + 3.0814879110195774e-33im], [-0.29593593610312846 - 1.4693679385278594e-38im, 0.06598258654137357 + 3.3060778616876836e-39im, -0.22778595933317403 - 1.0285575569695016e-38im]]&Any[0.12592067164189116, 0.1049187761625903, 0.1049187761625903]&Any[1, 0, 0]
4&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&4&13&2&Any[[-0.490182455632218, -0.3954913300828413, 0.8292266783207335], [0.4901824556322181, 0.3954913300828413, -0.8292266783207336]]&Vector{ComplexF64}[[0.0 + 1.0886271114730817im, -4.3790577010150533e-47 + 0.8783312812071857im, -1.2102034596027976e-47 + 1.8415972118227435im], [6.162975822039155e-33 - 1.0886271114730817im, 3.0814879110195774e-33 - 0.8783312812071857im, 0.0 - 1.8415972118227435im], [-0.490182455632218 + 7.824090399073146e-35im, -0.3954913300828413 + 3.912045199536573e-35im, 0.8292266783207335 - 9.62964972193618e-35im], [0.4901824556322181 - 1.925929944387236e-34im, 0.3954913300828413 + 2.8888949165808538e-34im, -0.8292266783207336 - 1.925929944387236e-34im]]&Any[0.28383298086084935, 0.2838329808608493]&Any[0, 0]
5&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&3&Any[[0.0, 0.0, 0.0], [-0.48239617254286693, -0.013611663103259168, 0.4584119364321977], [0.48239617254286693, 0.013611663103259168, -0.4584119364321977]]&Vector{ComplexF64}[[0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-1.4349296274686127e-42 + 0.5786692278494922im, 0.0 + 0.01632817801225499im, 3.587324068671532e-43 + 0.549898395532228im], [7.174648137343064e-43 - 0.5786692278494922im, -2.2420775429197073e-44 - 0.016328178012254994im, 5.3809861030072976e-43 - 0.549898395532228im], [-0.48239617254286693 - 3.6734198463196485e-40im, -0.013611663103259168 + 5.739718509874451e-42im, 0.4584119364321977 - 1.8367099231598242e-40im], [0.48239617254286693 + 2.2958874039497803e-41im, 0.013611663103259168 - 7.174648137343064e-43im, -0.4584119364321977 + 2.2958874039497803e-41im]]&Any[0.11256103158676399, 0.00866456086031593, 0.00866456086031593]&Any[1, 0, 0]
6&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&3&Any[[-7.852272054191723e-241, -7.498484069478155e-242, 9.373105086847693e-243], [-0.04660822107308055, 0.6526675432391789, 1.123480735344887], [0.04660822107308066, -0.6526675432391789, -1.123480735344887]]&Vector{ComplexF64}[[-7.852272054191723e-241 + 1.2563635286706756e-239im, -7.498484069478155e-242 + 1.1997574511165048e-240im, 9.373105086847693e-243 + 0.0im], [-2.6000054249227684e-33 + 0.04800959038974706im, 2.1570415377137042e-32 - 0.6722912973328042im, 3.8518598887744717e-32 + 1.1572604290154427im], [-4.8533434598558343e-32 - 0.04800959038974718im, 2.465190328815662e-32 + 0.6722912973328043im, 2.465190328815662e-32 - 1.1572604290154427im], [-0.04660822107308055 + 1.064962222048366e-29im, 0.6526675432391789 - 1.5126407857612901e-28im, 1.123480735344887 + 3.4394335467636115e-28im], [0.04660822107308066 - 3.363116314379561e-43im, -0.6526675432391789 - 3.587324068671532e-43im, -1.123480735344887 + 4.484155085839415e-43im]]&Any[1.8709206989062028, 0.01982010649217427, 0.019820106492174267]&Any[1, 0, 0]
7&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&1&Any[[0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-1.401298464324817e-45 + 0.2992753102142355im, 4.203895392974451e-45 - 0.569411390475298im, -2.802596928649634e-45 + 0.8457105709076908im], [-2.1895288505075267e-47 - 0.2992753102142356im, -4.3790577010150533e-47 + 0.569411390475298im, 0.0 - 0.8457105709076908im], [3.851859888774472e-33 + 0.5970536344667418im, 1.5407439555097887e-33 - 1.1359745645127612im, -2.311115933264683e-33 - 1.6871908668507392im], [2.5037089277034066e-33 - 0.5970536344667418im, -3.851859888774472e-34 + 1.1359745645127612im, -3.851859888774472e-34 + 1.687190866850739im]]&Any[0.09677650923708052]&Any[1]
8&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&3&Any[[1.2166986024289023e-209, -1.0848491436441942e-209, 4.866794409715609e-209], [0.36395561711360663, -0.011964958324094024, 0.2775352793946147], [-0.36395561711360663, 0.011964958324094024, -0.2775352793946147]]&Vector{ComplexF64}[[1.2166986024289023e-209 - 1.2166986024289023e-209im, -1.0848491436441942e-209 + 0.0im, 4.866794409715609e-209 - 2.4333972048578046e-209im], [6.162975822039155e-33 - 0.44709805948236747im, -2.407412430484045e-34 + 0.014698247250350915im, 1.5407439555097887e-33 + 0.3409357598030871im], [3.76158192263132e-37 + 0.44709805948236747im, 4.70197740328915e-38 - 0.014698247250350911im, 3.76158192263132e-37 - 0.3409357598030871im], [0.36395561711360663 - 2.7369110631344083e-48im, -0.011964958324094024 - 8.552847072295026e-50im, 0.2775352793946147 + 4.1053665947016125e-48im], [-0.36395561711360663 - 2.1666711874356403e-34im, 0.011964958324094024 - 8.275480229788904e-36im, -0.2775352793946147 + 1.925929944387236e-34im]]&Any[0.026747355407838975, 0.0018724530360330262, 0.0018724530360330262]&Any[1, 0, 0]
9&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&3&Any[[0.0, 0.0, 0.0], [0.15157409330320148, 1.5224543391634706, 1.5532959017674974], [-0.15157409330320148, -1.5224543391634706, -1.5532959017674977]]&Vector{ComplexF64}[[0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-5.473822126268817e-48 - 0.20400698962993286im, 1.0947644252537633e-47 - 2.049105620974928im, -1.0947644252537633e-47 + 2.090615975450509im], [6.842277657836021e-49 + 0.20400698962993286im, 8.210733189403225e-48 + 2.049105620974928im, 6.636914997624375e-48 - 2.0906159754505085im], [0.15157409330320148 - 4.231779662960235e-37im, 1.5224543391634706 + 0.0im, 1.5532959017674974 + 1.504632769052528e-36im], [-0.15157409330320148 + 2.82118644197349e-37im, -1.5224543391634706 + 3.009265538105056e-36im, -1.5532959017674977 - 2.256949153578792e-36im]]&Any[1.740798401076763, 0.36411546898466146, 0.36411546898466146]&Any[1, 0, 0]
10&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&1&Any[[0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.0 + 5.829687883459293e-212im, 0.0 + 6.083493012144512e-210im, 0.0 + 4.040260538649968e-210im], [3.587324068671532e-43 - 0.008110368659522955im, 1.1479437019748901e-41 + 0.2826242841909182im, -3.587324068671532e-43 + 0.2668638873870765im], [-4.3757128336478e-31 + 0.008110368659522957im, 1.3607850615062454e-29 - 0.28262428419091823im, 6.310887241768095e-30 - 0.2668638873870765im], [-5.877471754111438e-39 - 0.004840074660056253im, 0.0 + 0.16866343487639437im, 0.0 - 0.1592580058009678im], [1.1754943508222875e-38 + 0.004840074660056253im, 0.0 - 0.16866343487639437im, 0.0 + 0.1592580058009678im]]&Any[0.0013224398828169156]&Any[1]
11&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&4&13&2&Any[[0.10350825866872441, -0.6281602298356902, 2.227135747033552], [-0.10350825866872441, 0.6281602298356902, -2.227135747033552]]&Vector{ComplexF64}[[1.925929944387236e-34 - 0.1321797226634366im, 7.703719777548943e-34 + 0.8021586493268869im, -4.622231866529366e-33 + 2.8440453850052965im], [-7.346839692639297e-40 + 0.13217972266343656im, 1.1754943508222875e-38 - 0.8021586493268869im, -1.7632415262334313e-38 - 2.844045385005297im], [0.10350825866872441 - 2.627434620609032e-45im, -0.6281602298356902 + 8.407790785948902e-45im, 2.227135747033552 + 2.2420775429197073e-44im], [-0.10350825866872441 + 7.847271400218976e-44im, 0.6281602298356902 - 3.8115318229635024e-43im, -2.227135747033552 + 7.174648137343064e-43im]]&Any[0.15541880886503173, 0.15541880886503173]&Any[0, 0]
12&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&3&Any[[0.0, -1.7341112253290502e-240, 0.0], [-0.026472103249947813, -0.4269090306020838, -0.6118780132754268], [0.026472103249947806, 0.4269090306020838, 0.6118780132754268]]&Vector{ComplexF64}[[0.0 + 0.0im, -1.7341112253290502e-240 + 0.0im, 0.0 + 0.0im], [-0.026472103249947813 + 2.8698592549372254e-42im, -0.4269090306020838 + 3.4438311059246704e-41im, -0.6118780132754268 + 4.591774807899561e-41im], [0.026472103249947806 - 1.128474576789396e-36im, 0.4269090306020838 - 2.1064858766735392e-35im, 0.6118780132754268 - 1.2037062152420224e-35im], [5.473822126268817e-47 + 0.05222367974192599im, 0.0 + 0.842198305234521im, -8.758115402030107e-47 - 1.207101721563617im], [1.0947644252537633e-47 - 0.05222367974192599im, -5.254869241218064e-46 - 0.842198305234521im, -3.503246160812043e-46 + 1.207101721563617im]]&Any[0.22192756889870013, 0.12437687468937769, 0.12437687468937769]&Any[1, 0, 0]
13&1&false&1&2&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&5&13&1&Any[[0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.0 + 2.2467255797403142e-210im, 0.0 + 0.0im, 0.0 + 6.188040897337062e-210im], [-2.2958874039497803e-41 - 1.215882745842707im, -3.4438311059246704e-41 - 0.5710350446915202im, 5.739718509874451e-42 + 1.2779681384074701im], [1.410593220986745e-37 + 1.2158827458427073im, 9.4039548065783e-38 + 0.5710350446915202im, 1.1754943508222875e-38 - 1.2779681384074701im], [-3.503246160812043e-46 - 0.8134441896747356im, -3.503246160812043e-46 - 0.38203119568328925im, -5.254869241218064e-46 - 0.8549802687236071im], [-3.944304526105059e-30 + 0.8134441896747356im, -2.0214560696288428e-30 + 0.3820311956832892im, -3.944304526105059e-30 + 0.8549802687236071im]]&Any[0.04952189195488946]&Any[0]
